ZipCode,TaxRegionName,EstimatedCombinedRate
91946,LEMON GROVE,0.0775
91948,SAN DIEGO COUNTY,0.0775
91950,NATIONAL CITY,0.0875
91951,NATIONAL CITY,0.0875
91962,SAN DIEGO COUNTY,0.0775
91963,SAN DIEGO COUNTY,0.0775
91976,SAN DIEGO COUNTY,0.0775
91977,SAN DIEGO COUNTY,0.0775
91978,SAN DIEGO COUNTY,0.0775
91979,SAN DIEGO COUNTY,0.0775
91980,SAN DIEGO COUNTY,0.0775
92003,SAN DIEGO COUNTY,0.0775
92004,SAN DIEGO COUNTY,0.0775
92007,ENCINITAS,0.0775
92008,CARLSBAD GOLF LODGING BUSINESS IMPROVEMENT DISTRICT,0.0775
92009,CARLSBAD GOLF LODGING BUSINESS IMPROVEMENT DISTRICT,0.0775
92010,CARLSBAD GOLF LODGING BUSINESS IMPROVEMENT DISTRICT,0.0775
92011,CARLSBAD GOLF LODGING BUSINESS IMPROVEMENT DISTRICT,0.0775
92013,CARLSBAD GOLF LODGING BUSINESS IMPROVEMENT DISTRICT,0.0775
92014,DEL MAR,0.0875
92018,CARLSBAD GOLF LODGING BUSINESS IMPROVEMENT DISTRICT,0.0775
92019,SAN DIEGO COUNTY,0.0775
92020,EL CAJON,0.0825
92021,SAN DIEGO COUNTY,0.0775
92022,EL CAJON,0.0825
92023,ENCINITAS,0.0775
92024,ENCINITAS,0.0775
92025,ESCONDIDO,0.0775
92026,ESCONDIDO,0.0775
92027,ESCONDIDO,0.0775
92028,SAN DIEGO COUNTY,0.0775
92029,ESCONDIDO,0.0775
92030,ESCONDIDO,0.0775
92033,ESCONDIDO,0.0775
92036,SAN DIEGO COUNTY,0.0775
92037,SAN DIEGO CITY,0.0775
92038,SAN DIEGO CITY,0.0775
92039,SAN DIEGO CITY,0.0775
92040,SAN DIEGO COUNTY,0.0775
92046,ESCONDIDO,0.0775
92049,OCEANSIDE TOURISM MARKETING DISTRICT,0.0825
92051,OCEANSIDE TOURISM MARKETING DISTRICT,0.0825
92052,OCEANSIDE TOURISM MARKETING DISTRICT,0.0825
92054,OCEANSIDE TOURISM MARKETING DISTRICT,0.0825
92055,SAN DIEGO COUNTY,0.0775
92056,OCEANSIDE TOURISM MARKETING DISTRICT,0.0825
92057,OCEANSIDE TOURISM MARKETING DISTRICT,0.0825
92058,OCEANSIDE TOURISM MARKETING DISTRICT,0.0825
92059,SAN DIEGO COUNTY,0.0775
92060,SAN DIEGO COUNTY,0.0775
92061,SAN DIEGO COUNTY,0.0775
92064,POWAY,0.0775
92065,SAN DIEGO COUNTY,0.0775
92066,SAN DIEGO COUNTY,0.0775
92067,SAN DIEGO COUNTY,0.0775
92068,OCEANSIDE TOURISM MARKETING DISTRICT,0.0825
92069,SAN MARCOS,0.0775
92070,SAN DIEGO COUNTY,0.0775
92071,SANTEE,0.0775
92072,SANTEE,0.0775
92074,POWAY,0.0775
92075,SOLANA BEACH,0.0775
92078,SAN MARCOS,0.0775
92079,SAN MARCOS,0.0775
92081,VISTA,0.0825
92082,SAN DIEGO COUNTY,0.0775
92083,VISTA,0.0825
92084,VISTA,0.0825
92085,VISTA,0.0825
92086,SAN DIEGO COUNTY,0.0775
92088,SAN DIEGO COUNTY,0.0775
92091,SAN DIEGO COUNTY,0.0775
92092,SAN DIEGO CITY,0.0775
92093,SAN DIEGO CITY,0.0775
92096,SAN MARCOS,0.0775
92101,SAN DIEGO CITY,0.0775
92102,SAN DIEGO CITY,0.0775
92103,SAN DIEGO CITY,0.0775
92104,SAN DIEGO CITY,0.0775
92105,SAN DIEGO CITY,0.0775
92106,SAN DIEGO CITY,0.0775
92107,SAN DIEGO CITY,0.0775
92108,SAN DIEGO CITY,0.0775
92109,SAN DIEGO CITY,0.0775
92110,SAN DIEGO CITY,0.0775
92111,SAN DIEGO CITY,0.0775
92112,SAN DIEGO CITY,0.0775
92113,SAN DIEGO CITY,0.0775
92114,SAN DIEGO CITY,0.0775
92115,SAN DIEGO CITY,0.0775
92116,SAN DIEGO CITY,0.0775
92117,SAN DIEGO CITY,0.0775
92118,CORONADO,0.0775
92119,SAN DIEGO CITY,0.0775
92120,SAN DIEGO CITY,0.0775
92121,SAN DIEGO CITY,0.0775
92122,SAN DIEGO CITY,0.0775
92123,SAN DIEGO CITY,0.0775
92124,SAN DIEGO CITY,0.0775
92126,SAN DIEGO CITY,0.0775
92127,SAN DIEGO CITY,0.0775
92128,SAN DIEGO CITY,0.0775
92129,SAN DIEGO CITY,0.0775
92130,SAN DIEGO CITY,0.0775
92131,SAN DIEGO CITY,0.0775
92132,SAN DIEGO CITY,0.0775
92134,SAN DIEGO CITY,0.0775
92135,SAN DIEGO CITY,0.0775
